oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy
1.058,14.901,1422.895,55.524,46.61,1695.004,-1.004,-43.346,5093.697,4275.976,10.66,42.988
2.382,33.895,1456.789,53.892,46.38,1692.737,0.673,28.767,5001.956,4304.742,10.032,43.45
3.042,44.318,1501.107,54.797,48.35,1701.261,8.763,377.239,5306.265,4681.981,9.965,42.708
4.679,70.232,1571.339,51.029,46.17,1736.706,11.293,528.725,5759.076,5210.706,8.96,41.635
4.439,69.747,1641.086,58.422,54.21,1768.605,3.67,191.212,5821.669,5401.917,10.12,43.353
0.977,16.026,1657.112,60.205,57.3,1741.139,2.333,126.003,5808.223,5527.921,10.271,42.945
3.792,62.845,1719.958,60.217,58.8,1761.418,2.067,114.278,5778.208,5642.199,10.081,42.94
5.048,86.821,1806.778,64.622,64.75,1803.205,1.014,57.211,5688.139,5699.41,10.923,42.56
3.556,64.246,1871.025,67.798,69.71,1819.708,-3.802,-216.699,5332.336,5482.711,11.706,43.344
4.224,79.024,1950.049,67.35,71.07,1847.978,3.287,180.223,5366.521,5662.934,10.718,43.814
-1.729,-33.716,1916.333,62.66,67.84,1769.997,-16.641,-942.35,4360.107,4720.584,10.129,42.715
6.28,120.346,2036.679,68.221,75.78,1833.529,8.978,423.794,4631.248,5144.378,10.898,43.654
3.64,74.132,2110.812,76.549,87.28,1851.295,-7.343,-377.747,4180.592,4766.631,12.243,44.011
1.029,21.719,2132.531,80.62,94.35,1822.21,-4.647,-221.49,3883.742,4545.141,12.77,43.274
2.801,59.724,2192.255,86.678,104.11,1825.193,-1.124,-51.067,3741.606,4494.074,13.679,43.414
0.705,15.452,2207.707,81.657,100.61,1791.807,-6.647,-298.723,3405.008,4195.351,13.083,42.602
1.177,25.975,2233.681,71.375,90.17,1768.085,6.861,287.839,3548.697,4483.19,11.284,42.019
0.999,22.306,2255.987,63.902,82.77,1741.718,1.844,82.676,3525.043,4565.866,10.156,41.517
0.84,18.943,2274.93,64.661,85.85,1713.435,1.189,54.301,3479.824,4620.167,10.374,40.916
-11.006,-250.384,2024.547,60.338,82.1,1487.896,-16.644,-768.995,2830.334,3851.172,10.167,38.439
9.075,183.736,2208.283,63.824,88.95,1584.502,4.29,165.214,2881.864,4016.386,10.598,39.346
5.494,121.324,2329.607,49.453,70.556,1632.822,-3.772,-151.501,2708.899,3864.885,7.903,41.402
,,342.134,,,,,,,1235.101,,47.763
8.276,28.316,370.45,,,,27.263,336.726,,1571.827,,49.385
-0.339,-1.257,369.194,,,,10.008,157.31,,1729.137,,48.71
5.735,21.172,390.366,,,,28.164,486.989,,2216.126,,48.759
1.995,7.788,398.153,,,,27.172,602.168,,2818.294,,48.398
9.261,36.874,435.027,,,,20.627,581.335,,3399.629,,48.713
9.029,39.278,474.305,,,,-6.43,-218.599,,3181.03,,49.761
7.679,36.424,510.73,,,,0.413,13.144,,3194.173,,50.68
7.651,39.074,549.804,,,,4.782,152.748,,3346.922,,50.372
3.626,19.935,569.739,,,,-7.809,-261.354,,3085.567,,49.718
4.903,27.933,597.671,,,,-8.247,-254.475,,2831.093,,49.212
9.188,54.914,652.585,,,,19.286,546.018,,3377.11,,49.482
6.529,42.61,695.195,,,,4.854,163.925,,3541.035,,49.959
5.347,37.171,732.366,,,,-2.386,-84.49,,3456.545,,50.679
5.299,38.809,771.175,,,,9.943,343.679,,3800.224,,48.98
6.092,46.98,818.155,,,,-8.098,-307.737,,3492.487,,48.35
8.23,67.338,885.493,,,,-20.597,-719.347,,2773.14,,46.632
4.635,41.039,926.532,,,,-3.861,-107.079,,2666.062,,45.785
4.12,38.172,964.704,,,,1.361,36.29,,2702.352,,46.296
1.797,17.332,982.036,,,,6.788,183.428,,2885.779,,45.713
2.575,25.288,1007.324,,34.296,,3.97,114.552,,3000.331,13.242,45.06
-2.27,-22.868,984.456,,37.184,,-0.287,-8.62,,2991.711,13.766,43.154
5.496,54.104,1038.56,,38.684,,0.198,5.926,,2997.637,13.803,44.104
4.163,43.231,1081.791,,42.613,,4.248,127.326,,3124.964,14.431,42.919
3.306,35.765,1117.556,,43.338,,10.37,324.068,,3449.032,14.133,44.27
1.627,18.184,1135.74,,42.951,,7.171,247.34,,3696.372,13.474,43.552
0.522,5.931,1141.671,,42.028,,3.739,138.225,,3834.597,12.938,43.828
1.951,22.269,1163.94,,42.576,,1.896,72.7,,3907.297,12.986,44.02
1.026,11.945,1175.885,,41.757,,-1.304,-50.938,,3856.359,12.315,44.35
3.239,38.084,1213.968,,39.784,,-0.201,-7.767,,3848.592,11.324,44.294
3.452,41.906,1255.875,,36.138,,1.62,62.361,,3910.953,9.963,44.042
2.176,27.324,1283.199,,37.295,,3.238,126.621,,4037.574,9.759,43.882
3.151,40.432,1323.631,,38.504,,2.325,93.88,,4131.454,9.604,44.325
2.367,31.325,1354.956,,43.032,,0.336,13.892,,4145.346,10.587,44.683
3.654,49.512,1404.469,,44.875,,-2.827,-117.197,,4028.149,10.72,44.939
0.251,3.525,1407.994,,46.544,,7.228,291.173,,4319.322,10.574,44.058
1.058,14.901,1422.895,,47.383,,-1.004,-43.346,,4275.976,10.32,42.988
2.382,33.895,1456.789,,46.923,,0.673,28.767,,4304.742,9.623,43.45
3.042,44.318,1501.107,,48.516,,8.763,377.239,,4681.981,9.531,42.708
4.679,70.232,1571.339,,46.476,,11.293,528.725,,5210.706,8.594,41.635
4.439,69.747,1641.086,,52.523,,3.67,191.212,,5401.917,9.372,43.353
0.977,16.026,1657.112,,55.317,,2.333,126.003,,5527.92,9.437,42.945
3.792,62.845,1719.958,,58.709,,2.067,114.279,,5642.199,9.614,42.94
5.048,86.821,1806.778,,63.45,,1.014,57.21,,5699.41,10.176,42.56
3.556,64.246,1871.025,,68.611,,-3.802,-216.699,,5482.711,10.889,43.344
4.224,79.024,1950.049,,65.164,,3.287,180.223,,5662.934,9.687,43.814
-1.729,-33.715,1916.333,,57.96,,-16.641,-942.35,,4720.584,8.417,42.715
6.28,120.346,2036.679,,70.165,,8.978,423.794,,5144.378,9.71,43.654
3.64,74.132,2110.812,,81.573,,-7.343,-377.748,,4766.631,10.942,44.011
1.029,21.719,2132.531,,86.645,,-4.647,-221.49,,4545.141,11.252,43.274
2.801,59.724,2192.255,,94.354,,-1.124,-51.067,,4494.074,11.944,43.414
0.705,15.452,2207.707,,82.856,,-6.647,-298.723,,4195.351,10.363,42.602
1.177,25.975,2233.681,,74.812,,6.861,287.839,,4483.19,9.054,42.019
0.999,22.306,2255.987,,65.882,,1.844,82.676,,4565.866,7.759,41.517
0.84,18.943,2274.93,,56.767,,1.189,54.301,,4620.167,6.546,40.916
-11.006,-250.383,2024.547,,47.545,,-16.644,-768.995,,3851.172,5.579,38.439
9.075,183.736,2208.283,,59.108,,4.29,165.214,,4016.386,6.59,39.346
5.494,121.324,2329.607,,70.556,,-3.772,-151.501,,3864.885,7.903,41.402
,,,,45.82,,,,,,10.895,
,,,,46.61,,,,,,10.66,
,,,,46.38,,,,,,10.032,
,,,,48.35,,,,,,9.965,
,,,,46.17,,,,,,8.96,
,,,,54.21,,,,,,10.12,
,,,,57.3,,,,,,10.271,
,,,,58.8,,,,,,10.081,
,,,,64.75,,,,,,10.923,
,,,,69.71,,,,,,11.706,
,,,,71.07,,,,,,10.718,
,,,,67.84,,,,,,10.129,
,,,,75.78,,,,,,10.898,
,,,,87.28,,,,,,12.243,
,,,,94.35,,,,,,12.77,
,,,,104.11,,,,,,13.679,
,,,,100.61,,,,,,13.083,
,,,,90.17,,,,,,11.284,
,,,,82.77,,,,,,10.156,
,,,,85.85,,,,,,10.374,
,,,,82.1,,,,,,10.167,
,,,,88.95,,,,,,10.598,
,,,,168.06,,,,,,18.765,
,,,,,,,,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
