gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy
1.994,22.884,1170.619,220.29,251.17,1026.696,-3.692,-76.296,1745.742,1990.462,35.231,24.408
2.801,32.791,1203.41,221.747,259.51,1028.292,0.283,5.636,1705.631,1996.098,35.125,24.42
10.244,123.277,1326.687,229.18,275.27,1104.553,4.246,84.76,1732.449,2080.859,36.167,26.273
3.377,44.801,1371.489,225.751,278.15,1113.12,1.825,37.971,1719.674,2118.83,36.169,26.465
5.729,78.571,1450.059,240.316,303.6,1147.804,8.334,176.589,1816.954,2295.419,37.993,27.278
6.511,94.413,1544.472,240.877,312.0,1192.398,5.334,122.436,1866.687,2417.855,38.281,28.423
0.457,7.062,1551.534,234.608,311.49,1168.586,0.517,12.511,1830.507,2430.366,37.641,27.905
-0.941,-14.605,1536.929,223.536,304.16,1129.532,-4.777,-116.11,1700.812,2314.256,37.666,29.18
9.615,147.776,1684.705,230.441,321.16,1208.82,11.908,275.572,1858.271,2589.828,38.264,30.017
-3.542,-59.667,1625.038,254.588,363.229,1138.99,-3.87,-100.236,1744.956,2489.593,40.687,28.88
,,9.572,,,,,,,,,1.336
11.765,1.126,10.698,,,,,,,,,1.426
-1.161,-0.124,10.574,,,,,,,,,1.395
1.355,0.143,10.717,,,,,,,,,1.339
16.824,1.803,12.52,,,,,,,,,1.522
24.188,3.028,15.548,,,,,,,30.076,,1.741
18.373,2.857,18.405,,,,23.1,6.947,,37.023,,1.931
34.041,6.265,24.671,,,,75.931,28.112,,65.135,,2.448
60.319,14.881,39.552,,,,50.952,33.187,,98.322,,3.624
12.557,4.967,44.518,,,,4.356,4.283,,102.605,,3.885
20.486,9.12,53.638,,,,12.403,12.726,,115.331,,4.417
13.69,7.343,60.981,,,,19.033,21.951,,137.282,,4.624
11.893,7.253,68.234,,,,1.963,2.695,,139.977,,4.903
42.7,29.136,97.37,,,,33.372,46.713,,186.69,,6.738
52.863,51.473,148.843,,,,51.765,96.64,,283.33,,9.454
25.578,38.071,186.914,,,,-12.362,-35.027,,248.303,,11.046
22.244,41.577,228.491,,,,6.623,16.445,,264.748,,12.033
7.984,18.242,246.734,,,,22.801,60.365,,325.113,,12.192
9.947,24.542,271.275,,,,34.402,111.844,,436.957,,13.019
-4.192,-11.373,259.903,,,,4.965,21.694,,458.651,,12.098
7.287,18.94,278.843,,27.927,,10.253,47.028,,505.678,10.783,12.473
12.347,34.428,313.271,,28.349,,4.838,24.465,,530.143,10.495,13.732
3.228,10.113,323.384,,31.584,,9.212,48.835,,578.978,11.27,13.733
10.842,35.06,358.445,,34.009,,6.659,38.554,,617.532,11.517,14.221
3.634,13.026,371.471,,36.939,,9.696,59.876,,677.408,12.046,14.715
7.315,27.174,398.645,,42.646,,6.522,44.183,,721.591,13.378,15.287
0.75,2.99,401.636,,45.611,,7.187,51.861,,773.452,14.041,15.419
