hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1.183,32.307,0.4,95.531,,4.763
-11.25,-0.133,1.05,28.145,0.355,83.224,,3.519
15.493,0.163,1.212,31.79,0.41,94.003,,4.292
37.317,0.452,1.665,42.681,0.563,126.206,,5.486
-35.879,-0.597,1.067,26.759,0.361,79.125,,3.183
60.665,0.648,1.715,42.041,0.58,124.316,,4.666
-43.103,-0.739,0.976,23.387,0.33,69.156,,2.456
50.0,0.488,1.464,34.28,0.495,101.367,,3.278
51.919,0.76,2.224,50.857,0.752,150.384,,4.176
-33.91,-0.754,1.47,32.797,0.497,96.982,,2.495
-34.004,-0.5,0.97,20.859,0.328,61.68,,1.378
18.598,0.18,1.15,23.575,0.389,69.711,,1.401
-30.848,-0.355,0.795,15.7,0.269,46.424,,0.882
-7.063,-0.056,0.739,14.178,0.25,41.925,,0.652
16.4,0.121,0.86,16.018,0.291,47.365,,0.579
-11.684,-0.101,0.76,13.714,0.257,40.553,,0.429
42.412,0.322,1.082,18.913,0.366,55.927,,0.503
30.874,0.334,1.416,23.95,0.479,70.82,,0.571
-50.939,-0.722,0.695,11.362,0.235,33.599,,0.256
92.34,0.642,1.337,21.128,0.452,62.475,,0.514
42.92,0.574,1.91,29.187,0.646,86.307,5.263,0.728
-61.3,-1.171,0.739,10.925,0.25,32.306,1.926,0.266
99.6,0.736,1.476,21.157,0.499,62.56,3.922,0.517
-63.327,-0.934,0.541,7.549,0.183,22.321,1.31,0.177
23.497,0.127,0.668,9.08,0.226,26.85,1.475,0.225
-40.265,-0.269,0.399,5.29,0.135,15.644,0.838,0.127
117.037,0.467,0.866,11.211,0.293,33.152,1.689,0.278
-32.082,-0.278,0.588,7.44,0.199,21.999,1.088,0.184
77.387,0.455,1.044,12.905,0.353,38.159,1.818,0.35
-52.975,-0.553,0.491,5.942,0.166,17.57,0.835,0.163
16.265,0.08,0.571,6.777,0.193,20.04,0.979,0.182
-30.052,-0.172,0.399,4.658,0.135,13.773,0.654,0.129
-44.444,-0.177,0.222,2.544,0.075,7.524,0.349,0.074
186.667,0.414,0.636,7.185,0.215,21.245,0.924,0.206
-5.581,-0.035,0.6,6.689,0.203,19.781,0.82,0.193
-73.399,-0.441,0.16,1.625,0.05,5.189,0.209,0.053
