nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,0.0,0.0,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,0.0,0.0,0.0,0.0,0.0,,0.0
,2.94,2.94,40.708,1.036,115.509,,0.713
142.954,4.202,7.142,97.273,2.517,276.014,,1.774
2.185,0.156,7.298,97.831,2.572,277.597,,1.726
-36.353,-2.653,4.645,61.279,1.637,173.881,,1.052
76.909,3.572,8.217,106.682,2.896,302.711,,1.859
-7.044,-0.579,7.639,97.592,2.692,276.92,,1.609
-13.076,-0.999,6.64,83.497,2.34,236.925,,1.407
20.342,1.351,7.99,98.907,2.816,280.649,,1.745
-33.594,-2.684,5.306,64.655,1.87,183.459,,1.137
82.086,4.356,9.662,115.906,3.405,328.886,,1.989
36.3,3.507,13.169,155.57,4.641,441.433,,2.702
24.24,3.192,16.361,190.378,5.766,540.2,12.727,3.397
-0.954,-0.156,16.205,185.734,5.711,527.022,11.65,3.184
13.203,2.139,18.345,207.102,6.465,587.656,12.405,3.449
-10.317,-1.893,16.452,182.955,5.798,519.139,11.044,3.042
-13.091,-2.154,14.298,156.657,5.039,444.517,9.907,2.742
44.493,6.362,20.66,223.086,7.281,633.009,14.275,4.027
6.524,1.348,22.008,234.279,7.756,664.771,14.402,4.221
-8.703,-1.915,20.092,210.943,7.081,598.554,12.621,3.592
9.448,1.898,21.991,227.759,7.75,646.269,12.527,3.806
6.258,1.376,23.367,238.774,8.235,677.524,12.549,3.838
-14.196,-3.317,20.05,202.197,7.066,573.737,10.52,3.191
5.562,1.115,21.165,210.77,7.459,598.062,10.692,3.221
6.73,1.424,22.589,222.275,7.961,630.709,10.986,3.398
-6.381,-1.441,21.148,205.695,7.453,583.664,10.049,3.072
-4.656,-0.985,20.163,193.872,7.106,550.115,8.801,2.897
