renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy
,,,927.392,2.76,,97.527,
,,,1273.847,3.76,,98.172,
,,,1774.409,5.2,,100.0,
,,,2570.878,7.49,,100.0,
,,,1410.024,4.09,,98.554,
,,,1618.15,4.68,,100.0,
,,,2386.545,6.89,,100.0,
,,,1622.69,4.68,,100.0,
,,,2026.032,5.84,,100.0,
,,,2672.624,7.7,,100.0,
,,,1555.901,4.48,,100.0,
,,,2944.02,8.47,,100.0,
,,,1798.96,5.17,,100.0,
,,,1852.207,5.31,,100.0,
,,,3138.673,8.96,,100.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,1.183,,,95.531,,4.763
-11.25,-0.133,1.05,,,83.224,,3.519
15.493,0.163,1.212,,,94.003,,4.292
37.317,0.452,1.665,,,126.206,,5.486
-35.879,-0.597,1.067,,,79.125,,3.183
60.665,0.648,1.715,,,124.316,,4.666
-43.103,-0.739,0.976,,,69.156,,2.456
50.0,0.488,1.464,,,101.367,,3.278
51.919,0.76,2.224,,,150.384,,4.176
-33.91,-0.754,1.47,,,96.982,,2.495
-34.004,-0.5,0.97,,,61.68,,1.378
18.598,0.18,1.15,,,69.711,,1.401
-30.848,-0.355,0.795,,,46.424,,0.882
-7.063,-0.056,0.739,,,41.925,,0.652
16.4,0.121,0.86,,,47.365,,0.579
-11.684,-0.101,0.76,,,40.553,,0.429
42.412,0.322,1.082,,,55.927,,0.503
30.874,0.334,1.416,,,70.82,,0.571
-50.939,-0.722,0.695,,,33.599,,0.256
92.34,0.642,1.337,,,62.475,,0.514
42.92,0.574,1.91,,,86.307,,0.728
-61.3,-1.171,0.739,,,32.306,,0.266
99.6,0.736,1.476,,,62.56,,0.517
-63.327,-0.934,0.541,,,22.321,,0.177
23.497,0.127,0.668,,,26.85,,0.225
-40.265,-0.269,0.399,5.29,0.135,15.644,0.838,0.127
117.037,0.467,0.866,11.211,0.293,33.152,1.689,0.278
-32.082,-0.278,0.588,7.44,0.199,21.999,1.088,0.184
77.387,0.455,1.044,12.905,0.353,38.159,1.818,0.35
-52.975,-0.553,0.491,5.942,0.166,17.57,0.835,0.163
16.265,0.08,0.571,6.777,0.193,20.04,0.979,0.182
-30.052,-0.172,0.399,4.658,0.135,13.773,0.654,0.129
-44.444,-0.177,0.222,2.544,0.075,7.524,0.349,0.074
186.667,0.414,0.636,7.185,0.215,21.245,0.924,0.206
-5.581,-0.035,0.6,6.689,0.203,19.781,0.82,0.193
-73.399,-0.441,0.16,1.625,0.05,5.189,0.209,0.053
27.778,0.043,0.203,2.244,0.07,6.497,0.28,0.065
-17.391,-0.036,0.166,1.897,0.06,5.261,0.231,0.052
364.912,0.602,0.769,8.111,0.26,23.975,0.935,0.228
-5.283,-0.045,0.723,7.69,0.25,22.248,0.851,0.207
121.235,0.867,1.59,16.689,0.55,48.247,1.724,0.434
-60.814,-0.971,0.619,6.58,0.22,18.518,0.664,0.163
3.86,0.02,0.639,6.474,0.22,18.804,0.629,0.16
25.221,0.156,0.795,8.1,0.28,23.004,0.74,0.188
20.848,0.16,0.955,8.524,0.3,27.137,0.829,0.213
-46.754,-0.45,0.505,4.741,0.17,14.096,0.395,0.115
117.528,0.587,1.093,13.682,0.5,29.903,1.038,0.235
4.949,0.047,1.14,16.64,0.62,30.592,1.149,0.225
-69.306,-0.792,0.348,8.684,0.33,9.152,0.586,0.065
99.06,0.34,0.688,6.45,0.25,17.753,0.414,0.118
-12.598,-0.09,0.598,5.564,0.22,15.119,0.34,0.097
51.375,0.302,0.9,8.428,0.34,22.301,0.509,0.146
72.295,0.641,1.541,15.558,0.64,37.458,0.895,0.247
